Crop,Soil_pH,Soil_Nitrogen,Soil_Phosphorus,Soil_Potassium,Soil_Moisture,Soil_CEC,Avg_Temperature,Min_Temperature,Avg_Humidity,Min_Humidity,Avg_Wind_Speed,Total_Rainfall,Min_Elevation,Max_Elevation
Spiny Gourd,6.3,120.0,100.0,150.0,400.0,220.0,28.5,23.5,74.0,54.0,2.9,1150.0,0.0,1000.0
Sponge Gourd (Luffa aegyptiaca),6.4,130.0,100.0,140.0,380.0,180.0,29.0,23.0,78.0,58.0,3.2,1300.0,0.0,500.0
Star Anise,6.1,180.0,150.0,210.0,400.0,220.0,27.0,22.0,80.0,60.0,3.4,2400.0,0.0,1000.0
Star Fruit,6.0,150.0,100.0,150.0,350.0,180.0,24.0,18.0,70.0,50.0,2.5,1200.0,0.0,500.0
Sterculia monosperma (Chinese Chestnut),6.1,180.0,150.0,190.0,440.0,210.0,28.0,23.0,70.0,50.0,2.8,1500.0,0.0,500.0
Stevia,6.1,250.0,200.0,220.0,330.0,230.0,24.0,14.0,79.0,50.0,10.0,900.0,0.0,1000.0
Strawberry,5.7,250.0,200.0,220.0,350.0,240.0,18.5,8.5,85.0,55.0,8.5,1200.0,0.0,1500.0
Sugar Beet,6.5,270.0,220.0,240.0,350.0,250.0,25.5,15.5,72.0,44.0,10.8,920.0,0.0,1800.0
Sugarcane,6.0,320.0,270.0,260.0,600.0,280.0,31.5,21.5,80.0,50.0,7.5,3000.0,0.0,1500.0
Summer Savory,6.5,100.0,80.0,110.0,310.0,120.0,27.0,21.0,75.0,55.0,2.6,1000.0,0.0,1500.0
Sunflower,6.8,270.0,220.0,230.0,310.0,225.0,29.5,19.5,65.0,35.0,13.5,800.0,0.0,1000.0
Sunn Hemp,6.0,180.0,120.0,150.0,350.0,180.0,24.0,18.0,70.0,50.0,3.0,1000.0,0.0,1200.0
Sweet Basil,6.0,120.0,100.0,150.0,300.0,160.0,24.0,18.0,70.0,50.0,2.5,800.0,0.0,1000.0
Sweet Dumpling Squash,6.5,160.0,130.0,180.0,420.0,230.0,26.0,21.0,78.0,58.0,3.1,1400.0,0.0,500.0
Sweet Pepper,6.0,130.0,100.0,120.0,300.0,120.0,25.0,18.0,72.0,52.0,2.8,900.0,0.0,2000.0
Sweet Potato,6.0,80.0,60.0,100.0,300.0,120.0,24.0,18.0,65.0,45.0,2.5,1000.0,0.0,2000.0
Sweet Sorghum,6.2,265.0,215.0,235.0,345.0,245.0,26.5,16.5,71.0,42.0,11.2,910.0,0.0,2400.0
Sweetcorn,6.0,160.0,110.0,130.0,320.0,130.0,25.0,18.0,72.0,52.0,2.8,900.0,0.0,2000.0
Sword Bean,6.0,130.0,110.0,140.0,400.0,170.0,29.0,23.0,82.0,62.0,3.5,1300.0,0.0,1000.0
Tamarind,6.1,290.0,240.0,260.0,370.0,270.0,28.0,18.0,77.0,47.0,11.5,960.0,0.0,500.0
Tannia,6.3,140.0,110.0,170.0,400.0,220.0,,,,,,,0.0,1000.0
Tapioca,6.0,100.0,80.0,120.0,350.0,150.0,27.0,20.0,70.0,50.0,3.0,1200.0,0.0,900.0
Taro,6.0,150.0,100.0,180.0,400.0,180.0,27.0,22.0,80.0,60.0,3.5,2000.0,0.0,2000.0
Tarragon,6.3,85.0,65.0,105.0,270.0,105.0,21.0,15.0,64.0,44.0,2.0,710.0,0.0,1000.0
Tatsoi,6.2,170.0,150.0,190.0,480.0,210.0,29.0,23.0,84.0,64.0,3.6,1700.0,0.0,1000.0
Tea,5.5,280.0,240.0,220.0,450.0,270.0,22.0,12.0,90.0,60.0,6.8,2200.0,600.0,2000.0
Teak,6.5,80.0,60.0,100.0,300.0,120.0,27.0,22.0,70.0,50.0,3.0,1500.0,0.0,1300.0
Teff,6.1,245.0,195.0,215.0,315.0,225.0,24.0,14.0,74.0,46.0,10.2,890.0,1800.0,2800.0
Teff (Eragrostis tef - another variety),6.0,90.0,70.0,100.0,250.0,100.0,23.0,17.0,65.0,45.0,2.0,700.0,1800.0,2800.0
Telfairia occidentalis (Fluted Pumpkin),6.4,170.0,150.0,180.0,420.0,180.0,28.0,22.0,85.0,65.0,3.4,1600.0,0.0,1000.0
Tepary Bean,6.1,100.0,80.0,110.0,320.0,140.0,30.0,24.0,76.0,56.0,3.4,1000.0,0.0,1500.0
Tepary Bean (Phaseolus acutifolius - another variety),6.4,110.0,90.0,120.0,300.0,130.0,28.0,22.0,68.0,48.0,2.5,900.0,0.0,1500.0
Thunbergia grandiflora (Bengal Clockvine),6.4,120.0,100.0,140.0,410.0,220.0,29.0,24.0,80.0,60.0,3.0,2200.0,0.0,500.0
Thyme,6.4,250.0,200.0,220.0,330.0,230.0,24.0,14.0,74.0,44.0,10.5,870.0,0.0,1500.0
Tigernut,6.5,180.0,160.0,190.0,400.0,220.0,26.0,20.0,72.0,52.0,2.8,1800.0,0.0,1000.0
Tinda (Indian Squash),6.5,160.0,130.0,190.0,430.0,220.0,29.0,24.0,70.0,50.0,3.0,1400.0,0.0,300.0
Tomato,6.2,290.0,210.0,230.0,380.0,255.0,26.5,16.5,78.0,48.0,10.0,1300.0,0.0,2000.0
Torch Ginger,6.3,140.0,120.0,160.0,450.0,240.0,27.0,21.0,84.0,64.0,3.4,2400.0,0.0,1000.0
Triticale,6.3,255.0,205.0,225.0,335.0,235.0,25.5,15.5,73.0,44.0,11.0,880.0,0.0,2500.0
Tuberose (Polianthes tuberosa),6.3,90.0,70.0,100.0,280.0,120.0,25.0,19.0,68.0,48.0,2.3,850.0,0.0,1200.0
Turban Squash,6.0,170.0,140.0,190.0,450.0,250.0,27.0,22.0,80.0,60.0,3.3,1500.0,0.0,1500.0
Turmeric,6.5,250.0,200.0,250.0,400.0,250.0,27.0,22.0,80.0,65.0,3.0,1800.0,0.0,1300.0
Turmeric (Curcuma longa - another variety),6.2,140.0,110.0,160.0,320.0,150.0,27.0,22.0,70.0,50.0,3.0,1000.0,0.0,1300.0
Turnip,6.1,95.0,65.0,95.0,265.0,95.0,16.0,10.0,59.0,39.0,1.6,660.0,0.0,2000.0
Uapaca kirkiana (Sugarplum),6.4,190.0,160.0,210.0,430.0,240.0,29.0,23.0,75.0,55.0,3.5,1800.0,0.0,1500.0
Ube,6.0,100.0,80.0,120.0,340.0,140.0,26.0,20.0,70.0,50.0,2.9,1000.0,0.0,500.0
Ulluco,6.1,150.0,130.0,180.0,380.0,200.0,24.0,18.0,70.0,50.0,,,2000.0,3000.0
Urad,6.0,100.0,120.0,150.0,300.0,120.0,27.0,22.0,70.0,50.0,3.0,1200.0,0.0,1200.0
Valor Papdi (Luffa acutangula),6.4,180.0,150.0,200.0,450.0,220.0,29.0,24.0,80.0,60.0,3.5,1400.0,0.0,500.0
Vanilla,6.1,280.0,230.0,250.0,380.0,240.0,26.0,16.0,74.0,44.0,11.0,1000.0,0.0,1500.0
Velvet Bean,6.3,120.0,100.0,150.0,400.0,220.0,29.0,24.0,80.0,60.0,2.9,1400.0,0.0,1200.0
Velvet Bean (Mucuna pruriens - another variety),6.4,110.0,90.0,120.0,300.0,120.0,26.0,20.0,70.0,50.0,2.8,700.0,0.0,1200.0
Vetiver,6.5,140.0,110.0,170.0,390.0,210.0,28.5,23.5,79.0,59.0,3.2,2200.0,0.0,1300.0
Walnut,6.3,250.0,200.0,220.0,350.0,210.0,24.0,14.0,70.0,40.0,10.5,900.0,700.0,2000.0
Water Caltrop (Trapa natans),6.0,120.0,90.0,130.0,450.0,200.0,26.0,20.0,78.0,58.0,2.5,1600.0,0.0,100.0
Water Chestnut (Eleocharis dulcis),6.2,100.0,70.0,100.0,450.0,190.0,26.0,20.0,75.0,55.0,2.5,,0.0,50.0
Water Lily (Nymphaea),6.3,90.0,70.0,110.0,420.0,180.0,27.0,21.0,72.0,52.0,2.5,1400.0,0.0,100.0
Water Spinach,6.2,150.0,130.0,180.0,470.0,270.0,26.0,21.0,78.0,58.0,3.8,1900.0,0.0,500.0
Watermelon,6.0,280.0,230.0,250.0,360.0,260.0,29.0,19.0,70.0,40.0,11.0,950.0,0.0,500.0
Wax Gourd,6.0,140.0,120.0,170.0,450.0,250.0,28.0,23.0,75.0,55.0,3.5,1800.0,0.0,500.0
West Indian Pumpkin,6.3,120.0,100.0,150.0,350.0,180.0,27.0,22.0,72.0,52.0,2.9,1050.0,0.0,500.0
Wheat,6.0,250.0,200.0,220.0,350.0,240.0,25.5,15.0,70.0,40.0,10.5,1200.0,0.0,3500.0
Winged Bean,6.0,100.0,80.0,120.0,350.0,180.0,27.0,22.0,70.0,50.0,2.8,1200.0,0.0,1500.0
Winter Savory,6.6,80.0,60.0,110.0,270.0,100.0,20.0,14.0,62.0,42.0,1.7,650.0,0.0,1500.0
Wood Apple (Limonia acidissima),6.3,160.0,130.0,190.0,350.0,180.0,30.0,24.0,60.0,40.0,3.0,700.0,0.0,1200.0
Xanthosoma,6.3,200.0,170.0,230.0,430.0,260.0,28.0,23.0,82.0,62.0,3.0,2400.0,0.0,1000.0
Yacon,6.5,120.0,100.0,150.0,320.0,150.0,20.0,14.0,65.0,45.0,2.5,700.0,1000.0,2500.0
Yacon (Smallanthus sonchifolius),6.3,130.0,100.0,140.0,370.0,190.0,20.0,14.0,70.0,50.0,2.3,900.0,1000.0,2500.0
Yam,6.5,120.0,80.0,150.0,350.0,150.0,27.0,22.0,70.0,50.0,3.0,1500.0,0.0,1500.0
Yam Bean,6.2,100.0,70.0,90.0,270.0,90.0,18.0,12.0,60.0,40.0,1.7,650.0,0.0,1500.0
Yam Bean (Pachyrhizus erosus - another variety),6.1,120.0,100.0,130.0,330.0,150.0,26.0,20.0,72.0,52.0,2.8,1000.0,0.0,1500.0
Yautia,6.3,150.0,130.0,180.0,420.0,230.0,27.0,22.0,80.0,60.0,3.3,1500.0,0.0,1000.0
Ylang-Ylang,6.0,150.0,120.0,180.0,400.0,220.0,27.0,22.0,82.0,62.0,3.5,2500.0,0.0,500.0
Zucchini,6.1,250.0,200.0,220.0,330.0,230.0,26.5,16.5,76.0,47.0,10.5,900.0,0.0,200.0
